"","x"
"1"," 001
"
"2"," 
"
"3"," Bulbasaur
"
"4"," Monster
"
"5"," Grass
"
"6"," 20
"
"7"," 5120
"
"8"," 5376
"
"9"," 5355
"
"10"," 5140
"
"11"," 5120
"
"12"," 002
"
"13"," 
"
"14"," Ivysaur
"
"15"," Monster
"
"16"," Grass
"
"17"," 20
"
"18"," 5120
"
"19"," 5376
"
"20"," 5355
"
"21"," 5140
"
"22"," 5120
"
"23"," 003
"
"24"," 
"
"25"," Venusaur
"
"26"," Monster
"
"27"," Grass
"
"28"," 20
"
"29"," 5120
"
"30"," 5376
"
"31"," 5355
"
"32"," 5140
"
"33"," 5120
"
"34"," 004
"
"35"," 
"
"36"," Charmander
"
"37"," Monster
"
"38"," Dragon
"
"39"," 20
"
"40"," 5120
"
"41"," 5376
"
"42"," 5355
"
"43"," 5140
"
"44"," 5120
"
"45"," 005
"
"46"," 
"
"47"," Charmeleon
"
"48"," Monster
"
"49"," Dragon
"
"50"," 20
"
"51"," 5120
"
"52"," 5376
"
"53"," 5355
"
"54"," 5140
"
"55"," 5120
"
"56"," 006
"
"57"," 
"
"58"," Charizard
"
"59"," Monster
"
"60"," Dragon
"
"61"," 20
"
"62"," 5120
"
"63"," 5376
"
"64"," 5355
"
"65"," 5140
"
"66"," 5120
"
"67"," 007
"
"68"," 
"
"69"," Squirtle
"
"70"," Monster
"
"71"," Water 1
"
"72"," 20
"
"73"," 5120
"
"74"," 5376
"
"75"," 5355
"
"76"," 5140
"
"77"," 5120
"
"78"," 008
"
"79"," 
"
"80"," Wartortle
"
"81"," Monster
"
"82"," Water 1
"
"83"," 20
"
"84"," 5120
"
"85"," 5376
"
"86"," 5355
"
"87"," 5140
"
"88"," 5120
"
"89"," 009
"
"90"," 
"
"91"," Blastoise
"
"92"," Monster
"
"93"," Water 1
"
"94"," 20
"
"95"," 5120
"
"96"," 5376
"
"97"," 5355
"
"98"," 5140
"
"99"," 5120
"
"100"," 010
"
"101"," 
"
"102"," Caterpie
"
"103"," Bug
"
"104"," —
"
"105"," 15
"
"106"," 3840
"
"107"," 4096
"
"108"," 4080
"
"109"," 3855
"
"110"," 3840
"
"111"," 011
"
"112"," 
"
"113"," Metapod
"
"114"," Bug
"
"115"," —
"
"116"," 15
"
"117"," 3840
"
"118"," 4096
"
"119"," 4080
"
"120"," 3855
"
"121"," 3840
"
"122"," 012
"
"123"," 
"
"124"," Butterfree
"
"125"," Bug
"
"126"," —
"
"127"," 15
"
"128"," 3840
"
"129"," 4096
"
"130"," 4080
"
"131"," 3855
"
"132"," 3840
"
"133"," 013
"
"134"," 
"
"135"," Weedle
"
"136"," Bug
"
"137"," —
"
"138"," 15
"
"139"," 3840
"
"140"," 4096
"
"141"," 4080
"
"142"," 3855
"
"143"," 3840
"
"144"," 014
"
"145"," 
"
"146"," Kakuna
"
"147"," Bug
"
"148"," —
"
"149"," 15
"
"150"," 3840
"
"151"," 4096
"
"152"," 4080
"
"153"," 3855
"
"154"," 3840
"
"155"," 015
"
"156"," 
"
"157"," Beedrill
"
"158"," Bug
"
"159"," —
"
"160"," 15
"
"161"," 3840
"
"162"," 4096
"
"163"," 4080
"
"164"," 3855
"
"165"," 3840
"
"166"," 016
"
"167"," 
"
"168"," Pidgey
"
"169"," Flying
"
"170"," —
"
"171"," 15
"
"172"," 3840
"
"173"," 4096
"
"174"," 4080
"
"175"," 3855
"
"176"," 3840
"
"177"," 017
"
"178"," 
"
"179"," Pidgeotto
"
"180"," Flying
"
"181"," —
"
"182"," 15
"
"183"," 3840
"
"184"," 4096
"
"185"," 4080
"
"186"," 3855
"
"187"," 3840
"
"188"," 018
"
"189"," 
"
"190"," Pidgeot
"
"191"," Flying
"
"192"," —
"
"193"," 15
"
"194"," 3840
"
"195"," 4096
"
"196"," 4080
"
"197"," 3855
"
"198"," 3840
"
"199"," 019
"
"200"," 
"
"201"," Rattata
"
"202"," Field
"
"203"," —
"
"204"," 15
"
"205"," 3840
"
"206"," 4096
"
"207"," 4080
"
"208"," 3855
"
"209"," 3840
"
"210"," 020
"
"211"," 
"
"212"," Raticate
"
"213"," Field
"
"214"," —
"
"215"," 15
"
"216"," 3840
"
"217"," 4096
"
"218"," 4080
"
"219"," 3855
"
"220"," 3840
"
"221"," 021
"
"222"," 
"
"223"," Spearow
"
"224"," Flying
"
"225"," —
"
"226"," 15
"
"227"," 3840
"
"228"," 4096
"
"229"," 4080
"
"230"," 3855
"
"231"," 3840
"
"232"," 022
"
"233"," 
"
"234"," Fearow
"
"235"," Flying
"
"236"," —
"
"237"," 15
"
"238"," 3840
"
"239"," 4096
"
"240"," 4080
"
"241"," 3855
"
"242"," 3840
"
"243"," 023
"
"244"," 
"
"245"," Ekans
"
"246"," Field
"
"247"," Dragon
"
"248"," 20
"
"249"," 5120
"
"250"," 5376
"
"251"," 5355
"
"252"," 5140
"
"253"," 5120
"
"254"," 024
"
"255"," 
"
"256"," Arbok
"
"257"," Field
"
"258"," Dragon
"
"259"," 20
"
"260"," 5120
"
"261"," 5376
"
"262"," 5355
"
"263"," 5140
"
"264"," 5120
"
"265"," 172
"
"266"," 
"
"267"," Pichu
"
"268"," Undiscovered
"
"269"," —
"
"270"," 10
"
"271"," 2560
"
"272"," 2816
"
"273"," 2805
"
"274"," 2570
"
"275"," 2560
"
"276"," 025
"
"277"," 
"
"278"," Pikachu
"
"279"," Field
"
"280"," Fairy
"
"281"," 10
"
"282"," 2560
"
"283"," 2816
"
"284"," 2805
"
"285"," 2570
"
"286"," 2560
"
"287"," 026
"
"288"," 
"
"289"," Raichu
"
"290"," Field
"
"291"," Fairy
"
"292"," 10
"
"293"," 2560
"
"294"," 2816
"
"295"," 2805
"
"296"," 2570
"
"297"," 2560
"
"298"," 027
"
"299"," 
"
"300"," Sandshrew
"
"301"," Field
"
"302"," —
"
"303"," 20
"
"304"," 5120
"
"305"," 5376
"
"306"," 5355
"
"307"," 5140
"
"308"," 5120
"
"309"," 028
"
"310"," 
"
"311"," Sandslash
"
"312"," Field
"
"313"," —
"
"314"," 20
"
"315"," 5120
"
"316"," 5376
"
"317"," 5355
"
"318"," 5140
"
"319"," 5120
"
"320"," 029
"
"321"," 
"
"322"," Nidoran♀
"
"323"," Monster
"
"324"," Field
"
"325"," 20
"
"326"," 5120
"
"327"," 5376
"
"328"," 5355
"
"329"," 5140
"
"330"," 5120
"
"331"," 030
"
"332"," 
"
"333"," Nidorina
"
"334"," Undiscovered
"
"335"," —
"
"336"," 20
"
"337"," 5120
"
"338"," 5376
"
"339"," 5355
"
"340"," 5140
"
"341"," 5120
"
"342"," 031
"
"343"," 
"
"344"," Nidoqueen
"
"345"," Undiscovered
"
"346"," —
"
"347"," 20
"
"348"," 5120
"
"349"," 5376
"
"350"," 5355
"
"351"," 5140
"
"352"," 5120
"
"353"," 032
"
"354"," 
"
"355"," Nidoran♂
"
"356"," Monster
"
"357"," Field
"
"358"," 20
"
"359"," 5120
"
"360"," 5376
"
"361"," 5355
"
"362"," 5140
"
"363"," 5120
"
"364"," 033
"
"365"," 
"
"366"," Nidorino
"
"367"," Monster
"
"368"," Field
"
"369"," 20
"
"370"," 5120
"
"371"," 5376
"
"372"," 5355
"
"373"," 5140
"
"374"," 5120
"
"375"," 034
"
"376"," 
"
"377"," Nidoking
"
"378"," Monster
"
"379"," Field
"
"380"," 20
"
"381"," 5120
"
"382"," 5376
"
"383"," 5355
"
"384"," 5140
"
"385"," 5120
"
"386"," 173
"
"387"," 
"
"388"," Cleffa
"
"389"," Undiscovered
"
"390"," —
"
"391"," 10
"
"392"," 2560
"
"393"," 2816
"
"394"," 2805
"
"395"," 2570
"
"396"," 2560
"
"397"," 035
"
"398"," 
"
"399"," Clefairy
"
"400"," Fairy
"
"401"," —
"
"402"," 10
"
"403"," 2560
"
"404"," 2816
"
"405"," 2805
"
"406"," 2570
"
"407"," 2560
"
"408"," 036
"
"409"," 
"
"410"," Clefable
"
"411"," Fairy
"
"412"," —
"
"413"," 10
"
"414"," 2560
"
"415"," 2816
"
"416"," 2805
"
"417"," 2570
"
"418"," 2560
"
"419"," 037
"
"420"," 
"
"421"," Vulpix
"
"422"," Field
"
"423"," —
"
"424"," 20
"
"425"," 5120
"
"426"," 5376
"
"427"," 5355
"
"428"," 5140
"
"429"," 5120
"
"430"," 038
"
"431"," 
"
"432"," Ninetales
"
"433"," Field
"
"434"," —
"
"435"," 20
"
"436"," 5120
"
"437"," 5376
"
"438"," 5355
"
"439"," 5140
"
"440"," 5120
"
"441"," 174
"
"442"," 
"
"443"," Igglybuff
"
"444"," Undiscovered
"
"445"," —
"
"446"," 10
"
"447"," 2560
"
"448"," 2816
"
"449"," 2805
"
"450"," 2570
"
"451"," 2560
"
"452"," 039
"
"453"," 
"
"454"," Jigglypuff
"
