"","ID","Pokemon.Name","Gen.2.Steps","Gen.3.Steps","Gen.4.Steps","Gen.5.6.Steps","Gen.7.Steps"
"1",1," Bulbasaur",5120,5376,5355,5140,5120
"2",2," Ivysaur",5120,5376,5355,5140,5120
"3",3," Venusaur",5120,5376,5355,5140,5120
"4",4," Charmander",5120,5376,5355,5140,5120
"5",5," Charmeleon",5120,5376,5355,5140,5120
"6",6," Charizard",5120,5376,5355,5140,5120
"7",7," Squirtle",5120,5376,5355,5140,5120
"8",8," Wartortle",5120,5376,5355,5140,5120
"9",9," Blastoise",5120,5376,5355,5140,5120
"10",10," Caterpie",3840,4096,4080,3855,3840
"11",11," Metapod",3840,4096,4080,3855,3840
"12",12," Butterfree",3840,4096,4080,3855,3840
"13",13," Weedle",3840,4096,4080,3855,3840
"14",14," Kakuna",3840,4096,4080,3855,3840
"15",15," Beedrill",3840,4096,4080,3855,3840
"16",16," Pidgey",3840,4096,4080,3855,3840
"17",17," Pidgeotto",3840,4096,4080,3855,3840
"18",18," Pidgeot",3840,4096,4080,3855,3840
"19",19," Rattata",3840,4096,4080,3855,3840
"20",20," Raticate",3840,4096,4080,3855,3840
"21",21," Spearow",3840,4096,4080,3855,3840
"22",22," Fearow",3840,4096,4080,3855,3840
"23",23," Ekans",5120,5376,5355,5140,5120
"24",24," Arbok",5120,5376,5355,5140,5120
"25",172," Pichu",2560,2816,2805,2570,2560
"26",25," Pikachu",2560,2816,2805,2570,2560
"27",26," Raichu",2560,2816,2805,2570,2560
"28",27," Sandshrew",5120,5376,5355,5140,5120
"29",28," Sandslash",5120,5376,5355,5140,5120
"30",29," Nidoran♀",5120,5376,5355,5140,5120
"31",30," Nidorina",5120,5376,5355,5140,5120
"32",31," Nidoqueen",5120,5376,5355,5140,5120
"33",32," Nidoran♂",5120,5376,5355,5140,5120
"34",33," Nidorino",5120,5376,5355,5140,5120
"35",34," Nidoking",5120,5376,5355,5140,5120
"36",173," Cleffa",2560,2816,2805,2570,2560
"37",35," Clefairy",2560,2816,2805,2570,2560
"38",36," Clefable",2560,2816,2805,2570,2560
"39",37," Vulpix",5120,5376,5355,5140,5120
